Code,Area sqkm,Tot_P_M,Tot_P_F,Tot_P_P,R_Tot_Total,O_Tot_Total,0-9F,0-9M,10-19F,10-19M,20-29F,20-29M,30-39F,30-39M,40-49F,40-49M,50-59F,50-59M,60-69F,60-69M,70-79F,70-79M,80-89F,80-89M,90+F,90+M,Median_Tot_fam_inc_weekly,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,A,B
3132,6.62704,7220,7591,14811,1361,4135,1896,2208,1498,1548,1872,1820,2604,2398,2280,2130,1772,1702,1542,1244,1042,900,288,214,50,32,1755,375,305,146,281,1139,1379,571,673,1134,605,63.0,804.0
3133,10.7935,10366,10950,21316,962,6278,2306,2380,2750,2862,2192,2430,2540,2282,3168,2888,3196,2730,3058,2834,1656,1632,425,301,93,46,1721,547,384,197,294,1600,1762,866,1039,1632,784,67.0,438.0
3134,22.8349,15218,15882,31100,2718,8271,3802,4158,3880,4264,3920,4022,4424,4182,4790,4382,4106,3916,3236,2934,1886,1632,685,412,176,61,1729,545,416,298,452,1815,2321,1157,1408,2829,1461,283.0,1751.0
3135,9.39329,9296,9707,19003,1580,5420,2280,2478,2162,2276,2270,2356,2852,2840,2856,2674,2300,2164,2180,1840,1370,1212,450,337,122,39,1612,325,265,168,297,1088,1424,758,844,1821,983,112.0,550.0
3136,22.5454,19619,21345,40964,3232,11581,4822,5050,5134,5330,5372,5366,5734,5404,6086,5580,5512,4962,4534,3816,2898,2272,1058,628,240,100,1567,418,379,286,516,1815,2479,1387,1896,4434,2283,485.0,1115.0
3137,13.0631,6328,6768,13096,824,3753,1644,1616,1700,1894,1686,1598,1766,1688,1902,1880,1750,1666,1402,1216,768,640,345,197,115,31,1461,42,60,41,86,353,571,345,558,1722,872,96.0,540.0
3138,12.5439,10271,10418,20689,1248,5689,2736,2844,2792,2998,2926,3010,2810,2896,2980,2788,2804,2622,2114,2034,1062,926,260,193,47,19,1551,156,144,108,174,719,984,606,909,2597,1207,201.0,535.0
3139,236.23,6758,6787,13545,503,3952,1858,2072,2086,1956,1610,1580,1774,1664,2140,2072,1838,1898,1354,1376,598,626,145,121,13,14,1389,50,45,43,98,254,476,299,532,1928,963,65.0,232.0
3140,29.1318,7594,8055,15649,1106,4308,2046,1974,2214,2312,2134,2000,1962,1924,2572,2368,1984,1962,1552,1408,962,820,297,196,45,14,1548,112,82,72,123,483,712,437,694,1904,1017,221.0,797.0
3141,3.64949,9286,9848,19134,5544,3355,1060,1160,1110,1060,5766,5010,4258,4450,2160,2316,1928,1702,1738,1468,988,910,294,219,51,29,2391,959,915,223,372,2797,3045,652,924,723,521,235.0,1368.0
3142,4.31914,6056,6815,12871,1914,3383,876,914,1274,1158,2298,2084,1586,1540,1566,1322,1884,1638,1934,1680,1146,1024,422,318,111,58,2746,612,436,111,230,1770,1803,405,708,349,293,80.0,713.0
3143,2.1829,4114,4646,8760,1685,2033,768,912,668,658,1958,1552,1636,1496,1232,1082,1016,898,926,812,612,522,198,131,39,18,2552,395,389,81,171,1110,1292,317,486,257,196,47.0,356.0
3144,3.25788,4850,5456,10306,1088,2654,1290,1212,1092,1158,1656,1526,1348,1158,1510,1318,1420,1214,1152,984,788,690,266,201,62,19,2675,486,373,119,234,1290,1398,348,527,310,191,75.0,714.0
3145,8.82638,10346,10955,21301,2301,5217,2544,2660,2622,2606,3730,3784,2668,2634,3418,3056,2748,2532,1892,1784,1148,966,451,291,118,44,2380,840,701,257,426,2279,2479,760,1006,905,578,128.0,1341.0
3146,8.58582,11979,12969,24948,2417,6436,3124,3262,2994,3132,3922,3778,3552,3194,3982,3628,3362,3020,2312,2130,1364,1132,517,294,146,47,2563,1057,864,336,590,2927,3171,860,1105,954,663,97.0,529.0
3147,5.48837,6726,6921,13647,1404,3306,1846,1962,1502,1694,1594,2034,1914,1706,2244,2050,1746,1710,1132,1102,824,652,402,232,118,39,2020,462,356,166,288,1194,1336,463,579,771,411,98.0,472.0
3148,3.08151,3963,3858,7821,1078,1718,816,804,656,772,1656,2056,1278,1376,1000,922,790,732,670,578,532,434,141,118,16,9,1461,229,201,40,77,665,678,362,376,507,285,130.0,609.0
3149,15.1849,15583,16494,32077,2388,8991,3234,3476,3906,3998,3946,4452,3694,3428,5090,4536,4162,3826,3516,2920,3324,2748,940,825,117,67,1649,1135,817,303,496,2874,3069,1340,1580,1912,1069,136.0,1487.0
3150,27.2903,28562,29743,58305,3538,15701,5154,5506,7592,8562,7034,8056,6144,5634,9056,7844,8244,7576,7668,6832,5144,4830,1419,1003,306,139,1617,2110,1454,515,743,5170,5319,2290,2673,3390,1775,228.0,1432.0
3151,4.26235,5009,5132,10141,752,2735,848,1008,1042,1096,1672,1908,1212,1254,1372,1194,1168,1094,1304,1030,1104,1020,239,180,32,27,1404,310,261,76,109,825,889,411,445,652,341,45.0,289.0
3152,21.668,15113,16124,31237,1644,8424,2934,3194,4054,4248,4244,4436,3488,3354,4436,3850,5514,4888,3540,3480,1842,1630,851,478,247,95,1702,587,423,203,294,2079,2350,1171,1373,2676,1437,275.0,1415.0
3153,14.5999,9732,9926,19658,1971,5328,2296,2622,2068,2250,2972,3104,3004,3168,2652,2696,2516,2204,2104,1878,1144,1046,432,216,116,33,1428,195,177,92,153,788,1007,592,832,2271,1128,222.0,1312.0
3154,5.7161,2126,2103,4229,167,1276,606,560,546,548,524,564,606,646,656,658,622,624,428,438,164,144,27,31,0,4,1629,33,27,24,41,137,214,139,209,577,230,23.0,112.0
3155,11.2635,10099,10726,20825,1947,5947,2302,2530,2300,2264,2912,2966,3078,3040,2846,2722,2874,2526,2428,2146,1550,1282,463,311,119,49,1392,173,184,118,201,762,1063,609,890,2508,1279,301.0,1073.0
3156,39.4779,17706,17949,35655,1953,10161,4152,4624,5118,5204,4342,4526,4914,4740,5772,5632,4998,4896,3538,3404,1782,1622,499,336,141,47,1613,338,297,174,303,1355,1824,1123,1518,4284,2042,289.0,1266.0
3158,6.75557,3484,3480,6964,265,2108,850,960,1010,1026,826,926,1050,956,1130,1078,1132,1048,664,646,178,208,50,50,10,9,1783,83,80,55,116,330,503,250,318,806,406,50.0,208.0
3159,13.8323,1311,1262,2573,83,729,304,404,438,400,242,286,382,310,456,452,400,428,196,242,78,72,11,14,3,0,1761,29,29,14,44,130,156,92,133,283,141,8.0,53.0
3160,20.0681,4512,4582,9094,371,2703,1176,1244,1388,1362,1050,1120,1262,1174,1514,1372,1462,1438,818,870,310,298,80,59,12,13,1672,117,135,85,156,415,575,301,435,1064,516,47.0,368.0
3161,4.20192,7002,7553,14555,1903,3406,1572,1710,1488,1496,2598,2512,2146,2124,1812,1626,1906,1768,1362,1430,890,682,508,261,157,67,2339,573,488,152,271,1833,1919,443,674,527,363,62.0,449.0
3162,4.74229,7958,8477,16435,1691,4190,2074,2006,1608,1844,1940,2100,2364,2116,2500,2264,2096,1980,1804,1802,1142,902,555,364,157,87,2117,531,452,179,320,1672,1862,614,800,806,464,113.0,487.0
3163,7.21307,14576,14977,29553,5005,6905,3150,3320,2344,2524,6142,6442,5082,5270,4060,3922,3364,3236,2422,2120,1688,1348,652,415,199,70,1770,1417,1173,315,548,2977,3402,1152,1321,1597,905,125.0,818.0
3165,9.18711,12717,13207,25924,1912,7205,3256,3768,2932,3388,2524,2740,3794,3466,4354,4102,3352,3070,2310,2062,1956,1526,826,591,142,65,1695,464,452,215,354,1764,2145,912,1181,2012,981,140.0,491.0
3166,8.34125,10998,11343,22341,2591,5199,2776,2732,2210,2212,4016,4412,3616,3800,3304,3148,2314,2204,1734,1516,1422,1188,516,346,132,46,1607,691,633,179,270,1718,2042,835,870,1410,718,173.0,1140.0
3167,6.65143,4558,4582,9140,639,2453,996,1008,950,1066,1204,1450,1222,1314,1358,1196,1236,1198,1002,894,660,616,253,172,15,15,1468,168,145,59,89,555,625,319,364,726,379,71.0,336.0
3168,8.21699,8762,8130,16892,3108,2397,1290,1406,1484,1432,5756,7142,2292,2778,1344,1492,1162,1090,914,808,998,718,404,282,106,48,1146,860,662,94,111,1474,1531,754,635,757,423,202.0,1422.0
3169,11.4479,9743,9346,19089,1910,4255,1864,1988,1870,2178,3272,4020,2638,2998,2420,2420,2280,2132,1994,1820,1486,1358,363,264,71,22,1199,389,341,77,103,1099,1156,740,696,1326,664,147.0,508.0
3170,10.7221,8718,8929,17647,1175,4799,2048,2032,1724,1994,2378,2548,2664,2664,2338,2374,2346,1972,2206,1994,1230,1376,365,217,97,24,1473,425,286,101,172,1088,1311,636,738,1474,678,110.0,809.0
3171,11.1058,10143,9628,19771,2265,3727,2072,2288,2234,2362,3440,4360,2758,2986,2442,2442,2064,2238,1684,1518,1404,1220,494,394,84,42,922,269,219,54,54,931,836,755,590,1110,602,289.0,1207.0
3172,20.8852,11075,11294,22369,1280,5864,2554,2796,3010,3232,2952,3190,2918,2668,3194,3040,3132,2920,2500,2376,1410,1304,387,279,70,34,1274,171,166,76,136,910,980,697,773,1829,910,158.0,483.0
3173,21.6653,9863,10022,19885,903,4965,2434,2574,2714,2910,2634,2772,2948,2590,2948,2860,2704,2580,2076,2098,916,942,276,172,59,28,1317,171,148,54,90,816,913,574,606,1428,756,167.0,808.0
3174,12.3193,18006,17762,35768,4494,7753,4216,4410,3806,4066,5848,6652,5280,5586,4344,4534,4324,4088,3556,3472,2366,2102,735,478,157,74,1042,415,376,116,139,1445,1510,1195,1177,2659,1506,547.0,1383.0
3175,79.9454,24440,23553,47993,6262,9188,5980,6386,5468,6198,7512,8280,6916,8100,5628,6088,5478,5454,4432,4254,3144,2686,1076,635,198,83,1014,502,460,149,186,1660,1930,1605,1638,3605,1945,1274.0,4680.0
3177,5.20685,5170,5085,10255,1263,2049,1272,1518,1230,1494,1522,1552,1366,1508,1244,1290,1230,1166,980,918,852,598,199,136,37,13,917,63,63,16,20,177,247,258,259,808,479,247.0,522.0
3178,21.923,17200,17577,34777,1377,9207,4488,4998,5748,5960,4234,4168,4882,4264,6418,5758,4782,4888,2420,2574,1440,1246,338,250,34,21,1799,505,378,184,285,1860,2155,1185,1481,3270,1702,197.0,783.0
3179,9.66017,2971,2921,5892,346,1586,718,780,748,876,744,888,838,828,916,806,884,806,694,638,218,254,40,25,0,7,1617,98,84,37,50,292,370,192,253,609,299,39.0,222.0
3180,5.52401,3486,3654,7140,463,2066,790,850,912,932,818,858,922,942,1154,1030,974,854,980,836,512,486,101,82,22,10,1478,81,72,45,64,390,426,236,308,791,383,48.0,306.0
3181,3.01158,8960,9303,18263,4609,3477,1240,1222,816,804,5206,4642,4030,4484,2044,2556,1672,1510,1252,1168,1132,908,450,257,157,55,2269,655,647,227,373,2315,2510,708,867,875,577,368.0,1649.0
3182,3.70816,10694,9951,20645,6193,3641,1152,1098,712,926,6004,5600,5124,5550,2704,3198,1968,2380,1234,1594,564,640,186,187,35,13,2249,826,842,222,417,2597,2993,825,940,1322,788,593.0,2410.0
3183,3.06079,8987,8967,17954,4090,3499,1894,2056,1360,1376,4404,4162,3972,4212,2266,2488,1576,1618,1116,1142,706,510,272,179,48,26,1967,608,609,202,352,2101,2288,644,871,992,633,128.0,699.0
3184,2.55358,7033,7605,14638,3745,2872,1422,1488,804,844,3292,2570,4024,3778,2500,2392,1574,1510,842,908,432,372,127,91,33,10,2388,560,608,187,397,1706,2177,548,766,831,519,130.0,515.0
3185,3.14774,5813,6407,12220,1864,2857,1658,1588,1158,1136,1944,1794,2142,1982,1918,1796,1498,1408,1096,1020,608,486,301,166,96,41,2179,445,439,165,303,1281,1429,413,556,550,331,68.0,654.0
3186,8.2005,9973,11284,21257,1810,5654,2502,2482,2616,2738,1918,1956,2284,1858,3482,2976,3344,2958,2818,2608,1608,1366,752,419,246,83,2681,854,684,223,406,2387,2372,759,1045,714,538,107.0,905.0
3187,5.6652,7465,8349,15814,1108,4288,2010,2030,2066,2132,1310,1526,1608,1348,2788,2394,2338,2116,1662,1580,1148,922,675,356,210,84,2453,444,377,160,291,1551,1625,568,762,771,447,55.0,349.0
3188,5.68514,8139,8737,16876,1661,4300,2364,2486,2112,2408,1612,1472,2224,1864,3100,2820,2364,2250,1684,1532,1090,854,361,251,101,45,2280,547,422,192,310,1460,1587,595,795,831,533,130.0,576.0
3189,4.58273,2608,2675,5283,437,1504,622,630,480,600,678,674,788,820,814,766,634,644,514,456,476,328,150,135,21,14,1635,89,85,37,76,349,455,197,235,424,225,132.0,779.0
3190,3.93478,4858,5405,10263,1013,2848,1474,1464,964,1102,1074,1042,1774,1552,1694,1650,1320,1076,1038,804,610,536,335,211,96,35,1826,188,181,84,163,733,867,378,492,760,396,99.0,523.0
3191,3.57226,4415,4894,9309,757,2545,1248,1262,1062,1292,754,796,1060,876,1632,1502,1300,1178,1056,962,628,476,363,190,161,53,2548,308,224,103,205,896,961,341,505,471,276,54.0,575.0
3192,10.1216,9794,10498,20292,1802,5809,2344,2620,2014,2216,2280,2442,3102,2888,3014,2906,2476,2270,2222,1818,1676,1392,743,448,191,70,1622,336,310,140,283,1224,1551,770,923,1754,827,186.0,1412.0
3193,8.82558,9103,9670,18773,1036,5616,2260,2376,2414,2582,1484,1530,1804,1476,3214,2868,2950,2860,2328,2220,1440,1256,638,458,84,61,2345,531,388,191,321,1728,1842,860,977,1113,616,58.0,425.0
3194,7.52515,5551,6116,11667,1434,3184,1214,1234,1256,1250,1496,1444,1648,1566,1878,1654,1546,1466,1320,1180,952,762,352,230,109,43,1770,235,222,96,193,839,946,471,596,917,574,110.0,586.0
3195,16.3103,16637,17465,34102,2544,9457,4694,4874,4248,4490,3434,3662,5276,4656,6088,5610,4404,4342,3060,2824,2046,1690,681,482,159,81,1890,570,536,279,491,2048,2622,1276,1578,3027,1519,285.0,1234.0
3196,10.6836,11328,12262,23590,2654,6541,2774,3082,2256,2362,2994,2802,4010,3738,3500,3414,3062,2764,2466,2186,1718,1358,692,408,180,67,1593,260,287,140,266,998,1535,762,1087,2500,1325,245.0,720.0
3197,5.82493,5483,5704,11187,945,3206,1272,1300,1268,1390,1186,1268,1584,1548,1756,1654,1668,1632,1288,1230,716,568,274,167,61,22,1719,112,93,47,96,442,590,392,505,1262,619,106.0,388.0
3198,12.4317,7996,8037,16033,2111,4201,1806,1982,1508,1748,2048,1976,2508,2574,2194,2338,2194,2212,1864,1668,1140,952,359,244,47,27,1333,98,107,67,153,532,744,438,659,1826,982,257.0,1051.0
3199,34.3057,25475,27151,52626,6360,13253,5870,6386,6246,6620,7114,6920,6622,6598,7550,6846,7260,6566,6282,5560,3966,3396,1351,866,345,163,1335,416,399,249,483,1879,2598,1751,2285,5666,3281,1171.0,4317.0
3200,5.11833,2742,2884,5626,924,1156,704,698,690,718,790,790,690,676,776,760,646,682,608,520,540,432,129,93,33,11,887,16,10,9,13,73,79,80,121,518,339,153.0,353.0
3201,20.3078,9391,9731,19122,1772,4726,2664,2882,2620,2692,2932,2796,3040,3068,2948,2926,2210,2082,1376,1238,864,644,324,200,79,27,1339,74,83,50,85,362,633,425,607,2077,1260,260.0,916.0
3202,7.11695,1416,1352,2768,202,631,510,552,242,318,256,290,540,428,468,508,298,310,166,188,126,154,42,39,7,4,1947,46,45,24,31,178,199,95,126,200,102,19.0,77.0
3204,8.21064,13738,14447,28185,2960,7159,3540,3774,3566,3904,3578,3636,3812,3666,5224,4578,3634,3632,2266,2126,1582,1152,669,421,176,83,2000,886,786,318,545,2486,2769,990,1345,1650,949,155.0,923.0
3205,2.45979,4552,4765,9317,2183,1846,852,814,548,564,1764,1678,2124,2032,1388,1396,1080,1050,838,866,532,466,161,109,41,10,2451,407,370,109,188,1138,1251,313,382,393,258,267.0,1505.0
3206,4.30361,4847,5170,10017,1617,2454,1186,1208,730,676,1322,1018,1904,1770,1698,1630,1258,1286,1160,1108,624,648,185,156,44,18,2697,425,461,141,230,1283,1326,323,399,404,224,71.0,611.0
3207,9.56943,7033,7488,14521,3040,3330,1258,1540,806,788,2226,1898,3662,3242,2332,2392,1868,1704,1634,1462,816,718,164,147,23,14,2616,497,527,149,292,1683,1840,496,696,783,483,282.0,1128.0
3211,235.478,736,657,1393,55,387,128,210,216,236,122,126,182,144,240,246,218,264,130,154,70,70,4,11,0,0,1575,11,7,10,15,38,41,43,56,161,81,3.0,68.0
3212,190.607,7282,6864,14146,970,3604,1952,1932,1928,2164,1574,1876,2070,2352,2134,2338,1718,1740,1254,1276,612,586,200,124,42,26,1592,84,79,56,106,404,616,383,501,1510,810,185.0,506.0
3214,25.4259,11361,12079,23440,3531,5067,3162,3272,3660,3698,3122,2920,3024,2770,3144,2936,3032,2866,2380,2254,1714,1376,422,296,38,19,894,63,55,37,47,230,364,278,420,1971,1391,578.0,2257.0
3215,18.1849,9639,10181,19820,1867,5577,2060,2352,2172,2244,2582,2552,2556,2484,2540,2500,2516,2348,2444,2212,1878,1554,660,450,148,65,1214,118,116,70,136,647,863,494,714,2058,1193,170.0,1007.0
3216,169.633,25126,26878,52004,4371,14567,5988,6410,6376,6916,7046,7232,6626,6206,7172,6500,6946,6286,5688,5098,3890,3212,1620,1032,392,163,1492,742,512,327,576,2559,3482,1795,2264,5458,3072,315.0,1760.0
3217,0.786822,605,650,1255,105,262,180,160,252,202,262,280,190,168,212,186,106,102,62,74,30,30,3,3,0,0,1750,32,24,4,11,84,101,39,51,89,59,1.0,30.0
3218,4.79052,6058,6554,12612,1903,3330,1530,1652,1344,1286,2244,2052,1998,1922,1780,1768,1632,1466,1000,972,814,590,331,181,51,23,1537,153,159,91,200,722,991,390,545,1192,757,110.0,600.0
3219,15.0605,9532,10521,20053,2574,5321,2296,2462,2332,2456,2700,2688,2804,2516,2878,2714,2786,2390,2166,1798,1566,1216,629,354,128,58,1153,103,118,68,140,502,844,410,665,2171,1325,223.0,1133.0
3220,9.76419,7460,7827,15287,1992,3909,1614,1748,1852,1972,2216,2120,1878,1888,2300,2178,2234,2216,1600,1468,958,748,404,251,97,40,1820,327,265,117,266,1169,1415,537,700,1277,716,400.0,2133.0
3221,988.34,3992,3934,7926,313,2188,976,962,1202,1388,682,710,872,780,1342,1306,1192,1244,808,918,436,472,135,83,44,18,1567,64,56,38,59,273,416,212,303,963,381,39.0,255.0
3222,136.459,5807,6259,12066,735,3611,1390,1418,1622,1708,1138,1122,1230,1172,1754,1456,1818,1646,1652,1462,1204,1068,311,248,44,32,1271,87,66,58,129,365,519,346,530,1484,804,50.0,275.0
3223,71.8546,3163,3334,6497,665,2025,554,580,556,666,426,388,544,506,768,716,996,852,1402,1294,836,840,244,226,49,16,942,46,58,26,71,183,294,190,245,830,378,34.0,199.0
3224,27.9283,4976,5135,10111,497,3036,1292,1424,1292,1434,1132,1128,1440,1248,1430,1364,1252,1140,1194,1062,772,758,190,176,44,20,1391,59,40,39,74,278,454,307,411,1336,743,36.0,249.0
3225,9.71282,1831,2050,3881,330,1198,328,378,366,408,216,202,332,250,498,432,542,516,764,678,558,502,203,133,45,14,1379,88,76,35,86,268,350,191,249,309,166,19.0,114.0
3226,12.1179,6018,6537,12555,1038,3518,1616,1722,1504,1734,1186,1240,1742,1468,1886,1492,1942,1746,1576,1430,866,744,305,198,73,32,1477,160,140,123,249,623,939,403,641,1363,697,35.0,331.0
3227,88.1523,2153,2179,4332,334,1153,612,680,536,586,296,322,576,518,728,622,652,712,530,484,262,256,65,60,18,3,1757,89,80,41,82,302,365,157,210,397,185,12.0,189.0
3228,102.753,7214,7434,14648,1250,3719,2404,2428,1746,2002,1484,1314,2284,2136,2362,2216,1904,1864,1450,1470,734,682,203,144,48,14,1713,223,203,108,276,916,1234,554,728,1513,707,66.0,496.0
3230,6.89156,1189,1265,2454,220,672,220,288,252,262,206,190,244,218,328,332,386,368,410,354,238,216,86,65,37,9,1253,35,32,22,45,161,202,98,135,260,119,16.0,102.0
3231,436.436,713,707,1420,97,390,160,188,158,208,74,48,134,116,268,250,232,242,188,194,122,106,33,32,6,5,1323,29,36,18,26,88,123,56,70,149,56,10.0,54.0
3232,4.6635,518,528,1046,117,242,90,100,90,100,98,116,104,96,114,112,184,180,148,164,108,100,45,25,15,9,1142,11,11,14,11,63,81,31,44,101,38,23.0,108.0
3233,96.0143,859,877,1736,203,436,156,182,138,156,162,110,152,196,258,210,322,346,254,308,182,162,48,23,18,0,1029,15,15,12,19,76,113,51,83,223,79,25.0,82.0
3235,83.8515,184,189,373,21,112,52,68,42,42,8,18,68,52,66,36,80,76,46,56,0,8,4,6,3,0,1011,3,8,3,6,16,21,13,23,40,24,2.0,11.0
3236,41.8955,106,132,238,26,81,30,30,32,12,0,18,26,12,48,34,46,58,52,22,22,6,4,9,0,0,1078,0,7,0,4,8,20,10,10,16,15,,6.0
3237,634.917,249,230,479,29,130,50,54,62,64,32,16,58,50,88,76,70,98,62,90,30,30,4,10,0,0,914,6,0,3,5,21,29,15,12,54,23,1.0,6.0
3238,272.296,106,96,202,13,42,24,26,20,42,6,6,30,24,28,18,26,44,30,30,18,24,3,0,3,0,1291,0,0,0,0,12,14,5,8,17,13,5.0,10.0
3239,159.153,206,177,383,16,129,30,34,60,50,12,36,38,38,36,60,70,90,56,66,26,30,10,5,0,0,939,0,0,0,3,10,20,21,14,51,18,6.0,11.0
3240,243.864,1049,1031,2080,55,618,312,312,336,366,186,158,228,220,378,370,310,312,202,232,84,96,11,16,3,0,1648,30,11,17,26,80,129,72,92,267,126,4.0,29.0
3241,332.229,1116,1118,2234,180,610,252,268,236,306,208,208,260,230,320,300,368,322,254,304,186,182,59,48,17,8,1087,7,11,11,11,54,96,40,81,273,143,22.0,107.0
3242,270.032,390,351,741,45,248,92,84,84,126,48,68,88,88,102,108,122,120,100,118,38,52,14,8,0,0,1224,3,5,8,5,29,38,26,41,77,44,1.0,16.0
3243,398.679,335,299,634,35,200,66,106,66,66,52,44,68,58,94,88,116,124,104,110,16,46,8,12,0,3,1382,5,6,3,3,24,40,33,24,65,33,2.0,10.0
3249,848.008,1522,1382,2904,155,845,374,420,412,488,194,240,328,270,406,494,464,456,364,420,162,170,26,37,4,6,1239,12,12,11,29,63,110,54,95,341,183,17.0,77.0
3250,54.7347,5724,6054,11778,1148,3285,1382,1588,1572,1574,1360,1482,1262,1312,1544,1414,1500,1444,1306,1180,1088,848,446,264,101,39,1174,40,40,30,70,205,332,195,356,1245,746,218.0,535.0
3251,383.704,335,319,654,37,221,56,58,112,102,30,40,56,62,98,96,70,134,110,100,76,62,12,9,3,0,978,3,0,0,0,6,17,9,16,68,35,,10.0
3254,33.8521,196,187,383,19,111,70,72,58,58,52,56,40,50,64,64,36,36,38,28,6,12,4,8,0,0,1260,0,0,0,3,4,10,5,15,46,21,3.0,7.0
3260,1144.38,2192,2264,4456,418,1290,520,628,570,560,314,382,480,452,568,568,674,586,608,678,434,366,145,76,35,7,1081,19,17,17,31,91,162,77,146,470,267,43.0,142.0
3264,149.816,1155,1193,2348,224,668,280,304,282,350,200,206,226,264,304,258,316,318,274,266,264,208,101,61,19,7,1154,7,4,7,13,53,74,27,69,230,130,13.0,177.0
3265,937.947,1428,1350,2778,216,677,440,462,464,468,254,292,308,278,436,424,360,470,222,272,142,128,32,30,5,0,1359,10,14,9,21,45,124,54,81,288,136,62.0,39.0
3266,652.907,1750,1676,3426,285,911,458,474,502,638,276,272,368,362,508,526,388,418,364,380,296,290,72,63,25,7,1216,5,8,10,18,39,109,54,84,370,176,15.0,76.0
3267,108.852,154,135,289,22,65,64,50,36,58,12,32,36,36,46,46,36,42,30,22,14,8,0,5,0,0,1312,0,3,0,0,0,12,0,9,29,10,,6.0
3268,486.143,1272,1281,2553,154,683,344,368,478,386,220,224,262,292,378,384,362,382,238,292,176,138,45,33,7,5,1229,9,6,6,18,47,100,40,76,273,137,8.0,57.0
3269,367.236,501,469,970,94,222,146,142,134,148,82,104,118,108,152,158,148,162,88,96,54,52,8,12,0,4,1259,9,11,4,12,23,51,19,41,105,42,8.0,26.0
3270,1.69719,70,72,142,17,43,12,12,0,8,16,8,8,0,22,18,30,32,38,24,6,24,4,0,3,8,933,3,0,0,0,3,3,4,6,20,8,2.0,10.0
3272,1010.6,838,831,1669,148,503,218,244,176,180,144,144,148,170,218,208,230,268,226,224,172,152,54,38,11,4,1012,0,9,3,13,25,66,46,55,172,101,16.0,73.0
3273,223.537,64,59,123,9,38,18,18,12,12,6,6,24,0,12,12,24,38,12,26,6,6,3,3,0,0,1100,3,0,0,5,7,6,4,3,10,11,3.0,3.0
3274,469.279,183,168,351,29,99,58,52,32,64,24,20,44,32,48,54,52,70,34,42,30,20,10,6,0,0,1212,0,0,0,0,0,20,15,16,37,12,1.0,7.0
3275,36.2211,233,238,471,18,146,82,66,96,82,36,40,62,58,80,74,68,66,44,52,10,26,3,0,0,0,1180,3,0,3,3,6,14,5,15,63,28,,4.0
3276,334.939,257,253,510,36,135,76,86,74,72,46,44,58,66,92,86,86,70,42,60,12,18,8,3,3,0,1367,0,0,3,4,9,20,16,21,49,27,7.0,5.0
3277,241.97,982,909,1891,122,473,282,260,260,346,206,246,216,204,298,302,270,274,148,188,96,96,18,21,3,3,1535,7,8,7,15,36,80,45,62,205,104,13.0,38.0
3278,97.2881,234,220,454,27,110,76,42,68,100,22,30,66,54,68,104,60,56,54,66,20,12,4,0,0,0,1365,0,3,0,4,8,17,16,15,49,25,,8.0
3280,77.5191,14423,15544,29967,3580,7349,3712,3856,4116,4510,3938,3878,3636,3472,4202,3710,4004,3618,3178,2850,2320,1800,797,505,193,71,1273,181,177,151,297,973,1478,673,1025,2969,1877,474.0,1182.0
3281,168.339,866,873,1739,65,475,278,286,324,298,118,126,220,206,324,296,228,244,166,200,60,48,13,14,0,0,1551,14,12,5,11,43,91,48,69,183,86,2.0,4.0
3282,82.9771,1139,1173,2312,140,652,340,314,312,360,210,192,290,262,362,332,366,334,226,290,126,136,52,29,5,0,1282,15,12,6,18,41,100,49,85,276,155,26.0,65.0
3283,359.288,484,462,946,46,259,144,144,134,134,92,100,134,120,138,136,166,162,78,98,26,56,5,10,0,0,1342,4,11,10,11,29,60,31,27,94,54,8.0,24.0
3284,110.306,1425,1668,3093,296,889,372,312,324,314,222,252,352,308,394,274,482,454,512,476,354,282,130,84,33,4,1283,37,36,24,48,130,213,73,149,304,157,20.0,142.0
3285,394.444,635,624,1259,65,387,154,156,204,222,62,88,158,110,206,198,212,216,164,180,64,62,13,16,0,3,1367,9,10,10,12,34,71,30,56,133,73,3.0,50.0
3286,479.407,308,310,618,40,204,98,96,92,76,36,10,44,56,114,112,74,100,94,76,40,62,10,15,4,0,1025,0,4,0,7,9,14,17,33,56,26,4.0,5.0
3287,330.468,213,219,432,27,114,78,68,90,68,30,12,34,42,98,92,50,64,46,38,14,30,0,6,0,0,1278,0,3,0,3,6,23,5,11,35,21,1.0,2.0
3289,395.2,362,372,734,50,217,104,100,80,92,60,54,62,64,110,74,100,136,92,108,56,54,31,15,8,6,1059,4,3,0,5,21,23,17,30,70,29,1.0,11.0
3292,632.982,159,152,311,10,107,12,12,56,40,12,12,28,22,42,48,62,58,70,76,18,36,0,8,0,0,857,0,3,0,3,3,6,15,18,34,20,,17.0
3293,276.09,132,132,264,27,86,36,36,14,30,6,14,34,30,30,48,48,40,34,34,42,18,9,6,0,0,985,0,5,0,0,7,15,7,11,25,16,2.0,4.0
3294,1148.84,386,365,751,70,219,82,94,72,82,38,76,82,98,88,100,112,110,134,128,66,48,25,19,3,0,1108,4,6,3,10,28,35,34,37,84,31,2.0,12.0
