Code,A,B,PTYPE
3781,29.0,83.0,Property
3782,40.0,180.0,Property
3783,15.0,51.0,Property
3785,,2.0,Property
3786,3.0,27.0,Property
3787,8.0,16.0,Property
3788,12.0,56.0,Property
3789,1.0,8.0,Property
3791,5.0,11.0,Property
3792,5.0,22.0,Property
3793,17.0,73.0,Property
3795,3.0,35.0,Property
3796,47.0,190.0,Property
3797,35.0,86.0,Property
3799,36.0,141.0,Property
3800,,,Property
3802,243.0,588.0,Property
3803,155.0,514.0,Property
3804,19.0,186.0,Property
3805,588.0,2235.0,Property
3806,356.0,1279.0,Property
3807,46.0,225.0,Property
3808,92.0,37.0,Property
3809,25.0,266.0,Property
3810,585.0,1933.0,Property
3812,19.0,31.0,Property
3813,3.0,18.0,Property
3814,13.0,48.0,Property
3815,17.0,63.0,Property
3816,29.0,73.0,Property
3818,135.0,429.0,Property
3820,210.0,668.0,Property
3821,15.0,59.0,Property
3822,5.0,20.0,Property
3823,16.0,48.0,Property
3824,31.0,168.0,Property
3825,600.0,1427.0,Property
3831,26.0,27.0,Property
3832,,,Property
3833,6.0,28.0,Property
3835,12.0,22.0,Property
3840,654.0,1700.0,Property
3842,200.0,238.0,Property
3844,747.0,1721.0,Property
3847,42.0,70.0,Property
3850,383.0,1150.0,Property
3851,166.0,177.0,Property
3852,,,Property
3854,4.0,32.0,Property
3856,7.0,11.0,Property
3857,2.0,10.0,Property
3858,41.0,134.0,Property
3859,5.0,18.0,Property
3860,109.0,257.0,Property
3862,15.0,59.0,Property
3864,4.0,5.0,Property
3865,,5.0,Property
3869,14.0,35.0,Property
3870,33.0,29.0,Property
3871,24.0,62.0,Property
3873,,10.0,Property
3874,20.0,18.0,Property
3875,311.0,918.0,Property
3878,5.0,5.0,Property
3880,20.0,80.0,Property
3882,2.0,13.0,Property
3885,11.0,43.0,Property
3886,8.0,6.0,Property
3887,16.0,21.0,Property
3888,54.0,139.0,Property
3889,1.0,6.0,Property
3890,6.0,18.0,Property
3891,3.0,8.0,Property
3892,16.0,21.0,Property
3895,4.0,,Property
3896,4.0,8.0,Property
3898,8.0,8.0,Property
3900,3.0,7.0,Property
3902,1.0,3.0,Property
3903,6.0,14.0,Property
3904,2.0,23.0,Property
3909,166.0,483.0,Property
3910,162.0,701.0,Property
3911,24.0,140.0,Property
3912,149.0,412.0,Property
3913,56.0,125.0,Property
3915,232.0,843.0,Property
3916,1.0,48.0,Property
3918,14.0,97.0,Property
3919,36.0,118.0,Property
3920,10.0,2.0,Property
3921,,,Property
3922,100.0,273.0,Property
3923,2.0,8.0,Property
3925,88.0,87.0,Property
3926,11.0,57.0,Property
3927,13.0,20.0,Property
3928,,6.0,Property
3929,7.0,83.0,Property
3930,50.0,387.0,Property
3931,255.0,943.0,Property
3933,12.0,30.0,Property
3934,65.0,287.0,Property
3936,93.0,331.0,Property
3937,8.0,43.0,Property
3938,9.0,60.0,Property
3939,213.0,789.0,Property
3940,60.0,126.0,Property
3941,118.0,678.0,Property
3942,12.0,103.0,Property
3943,112.0,108.0,Property
3944,7.0,50.0,Property
3945,14.0,20.0,Property
3950,50.0,122.0,Property
3951,,12.0,Property
3953,75.0,217.0,Property
3954,2.0,2.0,Property
3956,31.0,70.0,Property
3957,,2.0,Property
3958,,2.0,Property
3959,3.0,10.0,Property
3960,9.0,42.0,Property
3962,5.0,18.0,Property
3965,4.0,13.0,Property
3966,5.0,9.0,Property
3971,74.0,154.0,Property
3975,75.0,329.0,Property
3976,301.0,627.0,Property
3977,869.0,2979.0,Property
3978,10.0,171.0,Property
3979,3.0,2.0,Property
3980,15.0,86.0,Property
3981,41.0,140.0,Property
3984,57.0,177.0,Property
3987,4.0,13.0,Property
3988,4.0,12.0,Property
3991,12.0,31.0,Property
3992,2.0,6.0,Property
3995,216.0,523.0,Property
3996,36.0,206.0,Property
