POSTCODE,FREQUENTAGE,CRIMETYPE,CRIMES
3847,50-59F,Personal,42.0
3850,10-19M,Personal,383.0
3851,30-39M,Personal,166.0
3852,20-29M,Personal,
3854,50-59M,Personal,4.0
3856,50-59M,Personal,7.0
3857,10-19F,Personal,2.0
3858,60-69M,Personal,41.0
3859,10-19M,Personal,5.0
3860,50-59F,Personal,109.0
3862,50-59F,Personal,15.0
3864,50-59M,Personal,4.0
3865,50-59F,Personal,
3869,50-59F,Personal,14.0
3870,50-59F,Personal,33.0
3871,50-59F,Personal,24.0
3873,50-59F,Personal,
3874,50-59M,Personal,20.0
3875,50-59F,Personal,311.0
3878,60-69F,Personal,5.0
3880,60-69F,Personal,20.0
3882,60-69M,Personal,2.0
3885,50-59F,Personal,11.0
3886,0-9M,Personal,8.0
3887,50-59M,Personal,16.0
3888,60-69M,Personal,54.0
3889,50-59M,Personal,1.0
3890,40-49F,Personal,6.0
3891,50-59F,Personal,3.0
3892,60-69M,Personal,16.0
3895,50-59M,Personal,4.0
3896,50-59M,Personal,4.0
3898,60-69M,Personal,8.0
3900,60-69M,Personal,3.0
3902,60-69M,Personal,1.0
3903,60-69M,Personal,6.0
3904,60-69M,Personal,2.0
3909,60-69F,Personal,166.0
3910,40-49F,Personal,162.0
3911,40-49F,Personal,24.0
3912,40-49F,Personal,149.0
3913,10-19M,Personal,56.0
3915,20-29F,Personal,232.0
3916,50-59M,Personal,1.0
3918,10-19M,Personal,14.0
3919,40-49M,Personal,36.0
3920,20-29M,Personal,10.0
3921,0-9F,Personal,
3922,60-69F,Personal,100.0
3923,60-69F,Personal,2.0
3925,60-69F,Personal,88.0
3926,50-59F,Personal,11.0
3927,60-69F,Personal,13.0
3928,60-69M,Personal,
3929,60-69F,Personal,7.0
3930,40-49F,Personal,50.0
3931,60-69F,Personal,255.0
3933,50-59M,Personal,12.0
3934,40-49F,Personal,65.0
3936,60-69F,Personal,93.0
3937,50-59F,Personal,8.0
3938,60-69F,Personal,9.0
3939,60-69F,Personal,213.0
3940,70-79F,Personal,60.0
3941,60-69F,Personal,118.0
3942,60-69F,Personal,12.0
3943,60-69F,Personal,112.0
3944,60-69F,Personal,7.0
3945,50-59M,Personal,14.0
3950,50-59F,Personal,50.0
3951,50-59F,Personal,
3953,50-59F,Personal,75.0
3954,40-49F,Personal,2.0
3956,60-69M,Personal,31.0
3957,0-9F,Personal,
3958,60-69M,Personal,
3959,60-69F,Personal,3.0
3960,50-59F,Personal,9.0
3962,60-69M,Personal,5.0
3965,60-69M,Personal,4.0
3966,60-69M,Personal,5.0
3971,60-69M,Personal,74.0
3975,30-39M,Personal,75.0
3976,10-19M,Personal,301.0
3977,0-9M,Personal,869.0
3978,50-59M,Personal,10.0
3979,50-59F,Personal,3.0
3980,40-49M,Personal,15.0
3981,10-19M,Personal,41.0
3984,60-69F,Personal,57.0
3987,10-19F,Personal,4.0
3988,0-9M,Personal,4.0
3991,50-59F,Personal,12.0
3992,50-59F,Personal,2.0
3995,50-59F,Personal,216.0
3996,60-69F,Personal,36.0
3000,20-29F,Property,14472.0
3002,20-29F,Property,476.0
3003,20-29M,Property,408.0
3004,20-29F,Property,177.0
3005,20-29M,Property,
3006,20-29M,Property,1195.0
3008,20-29M,Property,663.0
3010,10-19F,Property,
3011,20-29M,Property,1958.0
3012,30-39M,Property,1543.0
3013,30-39F,Property,785.0
3015,30-39F,Property,956.0
3016,40-49F,Property,1030.0
3018,40-49M,Property,713.0
3019,20-29M,Property,799.0
3020,20-29M,Property,3610.0
3021,20-29M,Property,3199.0
3022,30-39M,Property,546.0
3023,30-39F,Property,3235.0
3024,30-39F,Property,868.0
3025,30-39M,Property,903.0
3026,60-69M,Property,461.0
3027,30-39M,Property,156.0
3028,20-29M,Property,1467.0
3029,30-39M,Property,4180.0
3030,30-39F,Property,4514.0
3031,20-29F,Property,1302.0
3032,20-29M,Property,2281.0
3033,60-69F,Property,521.0
3034,60-69F,Property,251.0
3036,50-59F,Property,207.0
3037,30-39F,Property,1896.0
3038,40-49F,Property,1433.0
3039,30-39F,Property,1090.0
3040,40-49F,Property,1136.0
3041,40-49F,Property,511.0
3042,30-39F,Property,1148.0
3043,30-39F,Property,1216.0
3044,30-39F,Property,1063.0
3045,40-49F,Property,446.0
3046,20-29M,Property,1590.0
3047,20-29M,Property,2113.0
3048,10-19M,Property,874.0
3049,50-59F,Property,309.0
3051,20-29F,Property,987.0
3052,20-29F,Property,512.0
3053,20-29F,Property,1437.0
3054,20-29F,Property,391.0
3055,20-29M,Property,521.0
3056,20-29F,Property,1818.0
3057,20-29F,Property,477.0
3058,30-39F,Property,2353.0
3059,40-49F,Property,386.0
3060,20-29M,Property,738.0
3061,20-29M,Property,1061.0
3062,60-69M,Property,107.0
3063,20-29M,Property,11.0
3064,0-9M,Property,2411.0
3065,20-29F,Property,1573.0
3066,30-39M,Property,965.0
3067,30-39M,Property,530.0
3068,30-39F,Property,1024.0
3070,30-39F,Property,1288.0
3071,30-39F,Property,907.0
3072,30-39M,Property,3223.0
3073,20-29M,Property,2293.0
3074,20-29M,Property,1793.0
3075,30-39M,Property,945.0
3076,30-39F,Property,1935.0
3078,40-49F,Property,497.0
3079,40-49F,Property,492.0
3081,20-29M,Property,796.0
3082,40-49F,Property,1274.0
3083,20-29M,Property,1275.0
3084,40-49F,Property,757.0
3085,30-39F,Property,331.0
3086,20-29F,Property,
3087,30-39F,Property,323.0
3088,50-59F,Property,978.0
3089,40-49F,Property,304.0
3090,40-49M,Property,57.0
3091,40-49F,Property,36.0
3093,40-49F,Property,65.0
3094,50-59F,Property,168.0
3095,50-59F,Property,503.0
3096,10-19F,Property,21.0
3097,10-19M,Property,12.0
3099,50-59F,Property,96.0
3101,40-49F,Property,830.0
3102,40-49F,Property,151.0
3103,40-49F,Property,376.0
3104,10-19M,Property,378.0
3105,40-49F,Property,266.0
3106,40-49F,Property,211.0
3107,40-49F,Property,158.0
3108,40-49F,Property,1214.0
3109,40-49F,Property,552.0
3111,40-49F,Property,132.0
3113,40-49F,Property,92.0
3114,10-19M,Property,41.0
3115,10-19M,Property,28.0
3116,50-59F,Property,361.0
3121,20-29F,Property,2688.0
3122,20-29M,Property,1216.0
3123,20-29M,Property,335.0
3124,40-49F,Property,859.0
3125,20-29F,Property,558.0
3126,40-49F,Property,196.0
3127,40-49F,Property,477.0
3128,20-29M,Property,1146.0
3129,40-49F,Property,290.0
3130,40-49F,Property,716.0
3131,30-39F,Property,1080.0
3132,30-39F,Property,804.0
3133,50-59F,Property,438.0
3134,40-49F,Property,1751.0
3135,40-49F,Property,550.0
3136,40-49F,Property,1115.0
3137,40-49F,Property,540.0
3138,20-29M,Property,535.0
3139,40-49F,Property,232.0
3140,40-49F,Property,797.0
3141,20-29F,Property,1368.0
3142,20-29F,Property,713.0
3143,20-29F,Property,356.0
3144,20-29F,Property,714.0
3145,20-29M,Property,1341.0
3146,40-49F,Property,529.0
3147,40-49F,Property,472.0
3148,20-29M,Property,609.0
3149,40-49F,Property,1487.0
3150,40-49F,Property,1432.0
3151,20-29M,Property,289.0
3152,50-59F,Property,1415.0
3153,30-39M,Property,1312.0
3154,40-49M,Property,112.0
3155,30-39F,Property,1073.0
3156,40-49F,Property,1266.0
3158,50-59F,Property,208.0
3159,40-49F,Property,53.0
3160,40-49F,Property,368.0
3161,20-29F,Property,449.0
3162,40-49F,Property,487.0
3163,20-29M,Property,818.0
3165,40-49F,Property,491.0
3166,20-29M,Property,1140.0
3167,20-29M,Property,336.0
3168,20-29M,Property,1422.0
3169,20-29M,Property,508.0
3170,30-39F,Property,809.0
3171,20-29M,Property,1207.0
3172,10-19M,Property,483.0
3173,30-39F,Property,808.0
3174,20-29M,Property,1383.0
3175,20-29M,Property,4680.0
3177,20-29M,Property,522.0
3178,40-49F,Property,783.0
3179,40-49F,Property,222.0
3180,40-49F,Property,306.0
3181,20-29F,Property,1649.0
3182,20-29F,Property,2410.0
3183,20-29F,Property,699.0
3184,30-39F,Property,515.0
3185,30-39F,Property,654.0
3186,40-49F,Property,905.0
3187,40-49F,Property,349.0
3188,40-49F,Property,576.0
3189,30-39M,Property,779.0
3190,30-39F,Property,523.0
3191,40-49F,Property,575.0
3192,30-39F,Property,1412.0
3193,40-49F,Property,425.0
3194,40-49F,Property,586.0
3195,40-49F,Property,1234.0
3196,30-39F,Property,720.0
3197,40-49F,Property,388.0
3198,30-39M,Property,1051.0
3199,40-49F,Property,4317.0
3200,20-29F,Property,353.0
3201,30-39M,Property,916.0
3202,0-9M,Property,77.0
3204,40-49F,Property,923.0
3205,30-39F,Property,1505.0
3206,30-39F,Property,611.0
3207,30-39F,Property,1128.0
3211,50-59M,Property,68.0
3212,30-39M,Property,506.0
3214,10-19M,Property,2257.0
3215,20-29F,Property,1007.0
3216,20-29M,Property,1760.0
3217,20-29M,Property,30.0
3218,20-29F,Property,600.0
3219,40-49F,Property,1133.0
3220,40-49F,Property,2133.0
3221,10-19M,Property,255.0
3222,50-59F,Property,275.0
3223,60-69F,Property,199.0
3224,30-39F,Property,249.0
3225,60-69F,Property,114.0
3226,50-59F,Property,331.0
3227,40-49F,Property,189.0
3228,0-9M,Property,496.0
3230,60-69F,Property,102.0
3231,40-49F,Property,54.0
3232,50-59F,Property,108.0
3233,50-59M,Property,82.0
3235,50-59F,Property,11.0
3236,50-59M,Property,6.0
3237,50-59M,Property,6.0
3238,50-59M,Property,10.0
3239,50-59M,Property,11.0
3240,40-49F,Property,29.0
3241,50-59F,Property,107.0
3242,10-19M,Property,16.0
3243,50-59M,Property,10.0
3249,40-49M,Property,77.0
3250,0-9M,Property,535.0
3251,50-59M,Property,10.0
3254,0-9M,Property,7.0
3260,60-69M,Property,142.0
